"Var","S1","S1_conf","ST","ST_conf"
"size_nw",-0.0009598976077574856,0.003780845835770531,0.009198963957396477,0.0016627502515870847
"n_issues",0.38673944574012725,0.03178638631967759,0.4300234247229101,0.02167221099861227
"p",0.05876367515065375,0.010220651587181499,0.08430593146609311,0.005647278317840173
"σ",0.39243562902685214,0.03057030395066217,0.46291446866945024,0.029142824465108717
"ρ",0.06598175636325206,0.014993208859639921,0.12155203025861433,0.0075488181722372745
"p_intran",0.002966179729939541,0.004154509576693295,0.010803387936455541,0.0015724028571263964
