"std","nips"
0.23317862266655442,1489
0.23248485263239888,707
0.2333330655865622,1489
0.23631353889724133,1489
0.22888384150977692,1489
0.22995204329893423,1489
0.23197785976427898,1489
0.23179628975967087,1489
0.2347826672966436,707
0.22389749698366707,707
0.2319570001362863,707
0.23310954259676422,707
0.2411993020980612,707
0.22671027603861338,707
0.2314216389001758,3739
0.23069568115819583,2957
0.23200774176536038,3739
0.22935566755080924,3739
0.23198325384821553,3739
0.23098847990575663,3739
0.23042029164634445,3739
0.22864849181282967,3739
0.2289779960253905,2957
0.23257225569241108,2957
0.2324981483958316,2957
0.23158751278713394,2957
0.230046584405766,2957
0.23057993768656024,2957
0.23275738161861867,4864
0.23149241391261582,1832
0.2319299340316393,4864
0.23219739589329164,4864
0.23103625943842832,4864
0.23170622864335125,4864
0.23462128741085428,4864
0.23312760954506226,4864
0.2338003130816808,1832
0.23242552516315967,1832
0.23618495283870375,1832
0.22964365217709623,1832
0.23482291601150662,1832
0.23632004143155108,1832
0.2299287405611799,2614
0.2310322647452055,4082
0.22921389607208756,2614
0.22929363285445425,2614
0.23172173836450852,2614
0.23105845322769242,2614
0.2286500863981453,2614
0.23150138991485208,2614
0.232395672822914,4082
0.23039465133928858,4082
0.2324447003023374,4082
0.23055939937937847,4082
0.23073847567722477,4082
0.23152324034442578,4082
0.23224489522654426,2051
0.231785284115172,2394
0.23664327666318208,2051
0.23140665314727826,2051
0.23378350006146537,2051
0.2323505549397903,2051
0.2340286771714674,2051
0.23760531264684218,2051
0.22970837835643226,2394
0.23381280266237592,2394
0.2371557671333368,2394
0.23449580829374514,2394
0.2344544869070946,2394
0.23326363257898114,2394
0.23239364444452035,4301
0.23120930055056366,4644
0.23040463586148585,4301
0.23016833554659813,4301
0.23194135937090646,4301
0.23081144240867107,4301
0.23211635089526697,4301
0.230911189090362,4301
0.22950784967625698,4644
0.2320024476235698,4644
0.23129565304360136,4644
0.2295591108301847,4644
0.22908132294148403,4644
0.23220302865525322,4644
0.23310414272005114,3176
0.22937355931983994,1269
0.23168411900899089,3176
0.23367921930301105,3176
0.230843636383367,3176
0.23195754686042896,3176
0.2279978989970837,3176
0.22891992970160738,3176
0.2338312395383954,1269
0.23502096556190377,1269
0.2297208719967513,1269
0.2314277755860909,1269
0.2304024183874542,1269
0.22948823570167412,1269
0.23402076182326723,926
0.23208711342699295,3519
0.22617575254135514,926
0.23236193236466218,926
0.2343594965813161,926
0.22918738549721027,926
0.23482903628059326,926
0.23059968325493413,926
0.228917520862829,3519
0.2335546040871946,3519
0.23166377225118998,3519
0.2336269048442198,3519
0.22782091834615875,3519
0.23126448871872793,3519
0.2320834566281113,786
0.23098358987357284,4785
0.2310326053164464,786
0.22850511080345404,786
0.23640141001185477,786
0.23123563520015217,786
0.23531906703885172,786
0.23112318793948208,786
0.22994578345297545,4785
0.2297959279141876,4785
0.2315276964145602,4785
0.23018081075004165,4785
0.23290896023529087,4785
0.22988612722961102,4785
0.22874407106202904,3036
0.22976911139890385,2535
0.23183299522379597,3036
0.2299614333045031,3036
0.23079398854737787,3036
0.2293053965224717,3036
0.23096367141313087,3036
0.2317455615342707,3036
0.22822325217015724,2535
0.22984275129765086,2535
0.23414290753493672,2535
0.2327897606619809,2535
0.23331483067142586,2535
0.2335131697461735,2535
0.23195486986068437,4161
0.23161889260571975,3660
0.23287024585724392,4161
0.22992958842726757,4161
0.23387514917381505,4161
0.2317063807169653,4161
0.2315403468409236,4161
0.23385950395591903,4161
0.23124987731327745,3660
0.23373097612194135,3660
0.23468929158923132,3660
0.23534114436417822,3660
0.23492042734677662,3660
0.2358622001631612,3660
0.23467803636261597,1911
0.2317570647828402,1410
0.233130267891536,1911
0.22904697887204853,1911
0.23318272976195512,1911
0.2320766432859995,1911
0.23164800145814088,1911
0.23492128187318043,1911
0.23141676679898132,1410
0.23267307861963218,1410
